greek,russian,english,example,category
σε τέλειο συγχρονισμό,в идеальной синхронности,in perfect harmony,Οι δύο υπηρεσίες λειτούργησαν σε τέλειο συγχρονισμό κατά τη διαχείριση της κρίσης.,26 Dec
σηματοδοτώ,"означать, сигнализировать",to signal,Η συμφωνία σηματοδοτεί μια νέα εποχή στις διμερείς σχέσεις των δύο χωρών.,16 May
Σημειώνει πρόοδο,отмечает прогресс,shows progress,"Η χώρα σημειώνει πρόοδο στους δείκτες ψηφιακής διακυβέρνησης, σύμφωνα με έκθεση της ΕΕ.",Γ2 exam
σκέφτομαι πριν κοινοποιήσω,думай перед тем как делиться,think before sharing,"Οι ειδικοί συμβουλεύουν: σκέφτομαι πριν κοινοποιήσω, ειδικά σε θέματα δημόσιας υγείας.",Ιστορία 37
σκιαγραφώ,"очерчивать, обрисовывать",to outline,Η έκθεση σκιαγραφεί ένα ανησυχητικό τοπίο για την κατάσταση των ανθρωπίνων δικαιωμάτων.,Part 4
σπαρταρώ / ασπαίρω,дёргаюсь / трепещу,"twitch, shake",Η οικονομία σπαρτάρα υπό το βάρος των κυρώσεων και της ενεργειακής κρίσης.,6 Jan
σπιλώνω,порочить,to tarnish,"Η υπόθεση σπιλώνει τη φήμη ολόκληρου του θεσμού, παραδέχθηκε ο πρόεδρος του φορέα.",7 Oct
συγχρονισμός,синхронизация,synchronization,Ο συγχρονισμός δράσεων μεταξύ κράτους και ιδιωτικού τομέα είναι κρίσιμος για την ανάκαμψη.,26 Dec
συμπεριληπτικός,инклюзивный,inclusive,Ένα συμπεριληπτικό εκπαιδευτικό σύστημα οφείλει να ανταποκρίνεται στις ανάγκες όλων των μαθητών.,13 May
συνανθρώπους,"ближних, сограждан",fellow human beings,Καλούμαστε να στηρίξουμε τους συνανθρώπους μας που πλήττονται από τη φυσική καταστροφή.,Γ2 exam
συνδεδεμένος,связанный,connected,Ο κατηγορούμενος φέρεται συνδεδεμένος με δίκτυο παράνομης διακίνησης κεφαλαίων στο εξωτερικό.,Ιστορία 35
συνηθίζω,привыкаю,to get used to,Οι πολίτες συνηθίζουν σταδιακά τις ψηφιακές συναλλαγές με το δημόσιο μέσω νέων πλατφορμών.,23 Dec
Συνολικά,в общей сложности,in total,"Συνολικά, ωφελήθηκαν περισσότερα από δύο εκατομμύρια νοικοκυριά από το πρόγραμμα στήριξης.",27 Dec
συνοψίζω,резюмировать,to summarize,Ο αρθρογράφος συνοψίζει τα βασικά σημεία της πολιτικής αντιπαράθεσης των τελευταίων ημερών.,16 Sep
σχεδιάζεται,"проектируется, планируется",is being designed,Σχεδιάζεται η κατασκευή υποθαλάσσιας σύνδεσης μεταξύ Κρήτης και ηπειρωτικής Ελλάδας.,Γ2 exam
σχετίζεται,связано с,is related to,Η αύξηση της εγκληματικότητας σχετίζεται άμεσα με τα υψηλά ποσοστά ανεργίας στην περιοχή.,10 Jan
σχετίζομαι,связываться / относиться к,to relate to,Τα φαινόμενα αυτά σχετίζονται μεταξύ τους και απαιτούν ολιστική προσέγγιση για επίλυσή τους.,17 Feb
σύμφωνα με,согласно,according to,"Σύμφωνα με τα επίσημα στοιχεία, ο τουρισμός σημείωσε αύξηση 15% σε σχέση με πέρυσι.",16 May
Τίθενται σοβαρά ερωτήματα.,Ставятся серьёзные вопросы.,Serious questions are raised.,Τίθενται σοβαρά ερωτήματα για τη διαφάνεια των διαδικασιών ανάθεσης δημόσιων έργων.,Фразы уровня Γ2
το ένδοξο,славное,the glorious,"Το ένδοξο παρελθόν δεν αρκεί για να καλύψει τις αδυναμίες του παρόντος, σημείωσε ο ιστορικός.",Γ2 exam
το βλέμμα / η ματιά,взгляд,"gaze, look",Το βλέμμα της κοινωνίας στρέφεται ολοένα περισσότερο προς τις οικολογικές πολιτικές.,9 Dec
το γεγονός,событие / факт,"event, fact",Το γεγονός ότι η ανεργία μειώνεται δεν σημαίνει αυτόματα βελτίωση του βιοτικού επιπέδου.,12 Dec
το δύνασθαι,"способность, возможность","ability, capacity","Το δύνασθαι δεν ταυτίζεται πάντοτε με το πράττειν, επισημαίνουν πολιτικοί αναλυτές.",Αρχαία απαρέμφατα
το είναι,"бытие, существование","being, existence",Η φιλοσοφική αναζήτηση του είναι απασχολεί τον στοχαστή σε ολόκληρο το έργο του.,Αρχαία απαρέμφατα
Το ζήτημα παραμένει ανοιχτό.,Вопрос остаётся открытым.,The issue remains open.,Το ζήτημα παραμένει ανοιχτό και αναμένεται να επανέλθει στη Βουλή τον Σεπτέμβριο.,Фразы уровня Γ2
το θραύσμα,"осколок, фрагмент",fragment,"Κάθε θραύσμα πληροφορίας συμβάλλει στη σύνθεση της ευρύτερης εικόνας, δήλωσε ο εισαγγελέας.",23 Sep
το κάτοπτρο,зеркало,mirror,"Η τέχνη λειτουργεί ως κάτοπτρο της κοινωνίας, αντανακλώντας τις αξίες και τις αντιφάσεις της.",6 May
το μέγεθος,размер,size,Το μέγεθος της καταστροφής γίνεται αντιληπτό μόνο μέσα από τις μαρτυρίες των κατοίκων.,17 Feb
το ον / τα όντα,существо / существа,being / beings,Η σχέση του ανθρώπου με τα όντα του φυσικού κόσμου επαναπροσδιορίζεται στην εποχή μας.,17 Feb
